tags,phase,section,topic,prompt
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,目標人数,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリー数の目標人数を発言している
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,実績,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリー数の実績を発言している
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,目標が妥当でない,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ営業がエントリー数の目標に対して妥当でない・高すぎる・チャレンジングであるといった内容を発言している
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,目標の数字を変更,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ営業がエントリー数の目標に対して、新しい目標の数字を提案している
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,他のプロセス数値の目標を上げる,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ営業がエントリー数の目標を下げる発言と、代わりに他のプロセスの数字を上げる発言をしている
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,求める学生のタイプを拡大,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつ営業が、企業の求める学生のタイプに新たなタイプを提案している。今までの制限の解除を提案している。
例えば、理系だけでなく文系の検討を促す、院卒だけでなく学部生の検討を促すような発言がある。"
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーが本当に課題なのか明らかにしたい,実績を上げる余地がある,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリー数を上げることを促す・上げる余地がある・まだこれからなので分からないという旨の発言をしている。
例えば、これから・まだ分からない・上がる・上げていこうといった発言がある。"
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーに関するニーズ,数を増やしたい,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリー数が足りない、または上げたいという旨の発言がある。
エントリーが上がる余地がある旨の発言は無効"
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーに関するニーズ,効率化したい,インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリーに関わる業務を十分にする余裕がない・忙しい・人が足りない・非効率である、といった言葉が発言されている
IS・キャリア エントリー,IS・キャリア エントリー,IS・キャリアのエントリーに関するニーズ,不要なエントリーを減らしたい,"インターンシップ・仕事体験・オープンカンパニー・サマー・オータム・ウィンター・プレサイト・プレ期間・プレナビ・プレに関する話題の中で、エントリーや母集団形成に関する話題を話しており、かつエントリーが多すぎる、求める条件ではない学生からのエントリーが多い、という言葉が発言されている。
あるいはその裏返しとして、エントリーを絞りたい、エントリーを厳選したい、求める条件である学生からのエントリーの割合が多くなるようにしたい、という言葉が発言されている。"
